view,shot_id,window_start_frame,window_end_frame,keyframe_frame_idx,sequence_order
view1,0,0,149,0,1
view1,1,150,299,150,2
view1,2,300,449,300,3
view1,3,450,599,450,4
view1,4,600,749,600,5
view1,5,750,899,750,6
view1,6,900,1049,900,7
view1,7,1050,1199,1050,8
view1,8,1200,1349,1200,9
view1,9,1350,1499,1350,10
view1,10,1500,1649,1500,11
view1,11,1650,1799,1650,12
view1,12,1800,1949,1800,13
view1,13,1950,2099,1950,14
view1,14,2100,2249,2100,15
view1,15,2250,2399,2250,16
view1,16,2400,2549,2400,17
view1,17,2550,2699,2550,18
view1,18,2700,2849,2700,19
view1,19,2850,2999,2850,20
view1,20,3000,3149,3000,21
view1,21,3150,3299,3150,22
view1,22,3300,3449,3300,23
view1,23,3450,3599,3450,24
view1,24,3600,3749,3600,25
view1,25,3750,3899,3750,26
view1,26,3900,3911,3900,27
