view,frame_idx,shot_id,accepted,max_redund_score,epsilon_used,num_persons_t,num_persons_j,fallback_triggered
view3,0,0,1,0.0,0.85,0,0,0
view3,1,0,0,0.988,0.85,0,0,1
view3,2,0,1,0.9787,0.981,0,0,1
view3,3,0,0,0.9888,0.9831,0,0,1
view3,4,0,0,0.9879,0.9833,0,0,1
view3,5,0,1,0.9808,0.982,0,0,1
view3,6,0,0,0.9807,0.9784,0,0,1
view3,7,0,0,0.9815,0.9767,0,0,1
view3,8,0,0,0.9747,0.9734,0,0,1
view3,9,0,1,0.9534,0.9663,0,0,1
view3,10,0,0,0.9745,0.9525,0,0,1
view3,11,0,0,0.9518,0.9368,0,0,1
view3,12,0,0,0.9494,0.9274,0,0,1
view3,13,0,0,0.9367,0.9183,0,0,1
view3,14,0,0,0.955,0.9138,0,0,1
view3,15,0,0,0.9604,0.912,0,0,1
view3,16,0,0,0.9552,0.9092,0,0,1
view3,17,0,0,0.963,0.9079,0,0,1
view3,18,0,0,0.9589,0.9064,0,0,1
view3,19,0,0,0.9571,0.9053,0,0,1
view3,20,0,0,0.9566,0.9039,0,0,1
view3,21,0,0,0.9509,0.9022,0,0,1
view3,22,0,0,0.9637,0.902,0,0,1
view3,23,0,0,0.9621,0.902,0,0,1
view3,24,0,0,0.95,0.9009,0,0,1
view3,25,0,0,0.9558,0.9,0,0,1
view3,26,0,0,0.9348,0.8976,0,0,1
view3,27,0,0,0.9517,0.8969,0,0,1
view3,28,0,0,0.9617,0.8967,0,0,1
view3,29,0,0,0.9579,0.8965,0,0,1
view3,30,0,0,0.9625,0.8964,0,0,1
view3,31,0,0,0.9441,0.895,0,0,1
view3,32,0,0,0.9398,0.8937,0,0,1
view3,33,0,0,0.9453,0.8924,0,0,1
view3,34,0,0,0.9498,0.8916,0,0,1
view3,35,0,0,0.9393,0.8902,0,0,1
view3,36,0,0,0.9447,0.8894,0,0,1
view3,37,0,0,0.9679,0.8898,0,0,1
view3,38,0,0,0.9616,0.8901,0,0,1
view3,39,0,0,0.9654,0.8905,0,0,1
view3,40,0,0,0.9532,0.8903,0,0,1
view3,41,0,0,0.9615,0.8903,0,0,1
view3,42,0,0,0.9562,0.8902,0,0,1
view3,43,0,0,0.9494,0.8897,0,0,1
view3,44,0,0,0.9436,0.8891,0,0,1
view3,45,0,0,0.9602,0.8891,0,0,1
view3,46,0,0,0.9542,0.8888,0,0,1
view3,47,0,0,0.9602,0.8889,0,0,1
view3,48,0,0,0.9616,0.8889,0,0,1
view3,49,0,0,0.9515,0.8886,0,0,1
view3,50,0,0,0.9316,0.8876,0,0,1
view3,51,0,0,0.9346,0.8868,0,0,1
view3,52,0,0,0.9395,0.8864,0,0,1
view3,53,0,0,0.9541,0.8865,0,0,1
view3,54,0,0,0.9442,0.8862,0,0,1
view3,55,0,0,0.9472,0.8858,0,0,1
view3,56,0,0,0.9449,0.8853,0,0,1
view3,57,0,0,0.9579,0.8854,0,0,1
view3,58,0,0,0.9492,0.8854,0,0,1
view3,59,0,0,0.9534,0.8852,0,0,1
view3,60,0,0,0.9566,0.8853,0,0,1
view3,61,0,0,0.9461,0.885,0,0,1
view3,62,0,0,0.9577,0.8852,0,0,1
view3,63,0,0,0.9641,0.8855,0,0,1
view3,64,0,0,0.9557,0.8855,0,0,1
view3,65,0,0,0.96,0.8857,0,0,1
view3,66,0,0,0.9622,0.8858,0,0,1
view3,67,0,0,0.9494,0.8857,0,0,1
view3,68,0,0,0.9553,0.8857,0,0,1
view3,69,0,0,0.9642,0.8859,0,0,1
view3,70,0,0,0.9634,0.8861,0,0,1
view3,71,0,0,0.9445,0.8858,0,0,1
view3,72,0,0,0.957,0.8858,0,0,1
view3,73,0,0,0.9533,0.8857,0,0,1
view3,74,0,0,0.9557,0.8857,0,0,1
view3,75,0,0,0.9437,0.8855,0,0,1
view3,76,0,0,0.9473,0.8854,0,0,1
view3,77,0,0,0.9619,0.8856,0,0,1
view3,78,0,0,0.9542,0.8857,0,0,1
view3,79,0,0,0.945,0.8856,0,0,1
view3,80,0,0,0.9648,0.8857,0,0,1
view3,81,0,0,0.9605,0.8858,0,0,1
view3,82,0,0,0.9578,0.8858,0,0,1
view3,83,0,0,0.9407,0.8853,0,0,1
view3,84,0,0,0.9449,0.8851,0,0,1
view3,85,0,0,0.965,0.8853,0,0,1
view3,86,0,0,0.9607,0.8853,0,0,1
view3,87,0,0,0.9539,0.8854,0,0,1
view3,88,0,0,0.9608,0.8855,0,0,1
view3,89,0,0,0.953,0.8855,0,0,1
view3,90,0,0,0.9571,0.8856,0,0,1
view3,91,0,0,0.9548,0.8856,0,0,1
view3,92,0,0,0.964,0.8857,0,0,1
view3,93,0,0,0.9632,0.8859,0,0,1
view3,94,0,0,0.9646,0.886,0,0,1
view3,95,0,0,0.955,0.886,0,0,1
view3,96,0,0,0.9515,0.886,0,0,1
view3,97,0,0,0.945,0.8859,0,0,1
view3,98,0,0,0.9347,0.8854,0,0,1
view3,99,0,0,0.9469,0.8852,0,0,1
view3,100,0,0,0.9384,0.8849,0,0,1
view3,101,0,0,0.9537,0.8848,0,0,1
view3,102,0,0,0.9362,0.8844,0,0,1
view3,103,0,0,0.9377,0.8842,0,0,1
view3,104,0,0,0.9267,0.8836,0,0,1
view3,105,0,0,0.9282,0.8832,0,0,1
view3,106,0,0,0.9524,0.883,0,0,1
view3,107,0,0,0.946,0.8829,0,0,1
view3,108,0,0,0.9607,0.883,0,0,1
view3,109,0,0,0.9611,0.8831,0,0,1
view3,110,0,0,0.9631,0.8832,0,0,1
